species,lat_max,lon_min,lat_min,lon_max
pinus,46.409152, 143.382243,46.408614, 143.382903
pinus,46.628361, 142.852336,46.627614, 142.852862
pinus,47.007811, 143.056712,47.006798, 143.057828
pinus,47.040078, 143.041308,47.039520, 143.042874
pinus,47.030387, 142.806547,47.029943, 142.806981
pinus,47.926370, 142.189149,47.925634, 142.190780
pinus,47.975185, 142.231587,47.973550, 142.233647
pinus,47.860350, 142.505554,47.859486, 142.506508
pinus,47.744289, 142.048987,47.743492, 142.049909
pinus,47.309082, 142.704088,47.308338, 142.704839
pinus,46.964767, 143.025999,46.964327, 143.026418
pinus,46.980113, 143.041778,46.979878, 143.042025
pinus,46.637600, 142.862032,46.637194, 142.862773
pinus,46.912509, 142.783409,46.912031, 142.784266
pinus,47.028229, 142.800767,47.027789, 142.801626
pinus,47.785678, 142.087545,47.785320, 142.088103
pinus,47.796315, 142.113717,47.796048, 142.114173
pinus,47.802251, 142.119273,47.801991, 142.119664
pinus,47.801063, 142.088083,47.800745, 142.088603
pinus,47.835831, 142.096603,47.835650, 142.097022
pinus,47.847600, 142.143420,47.847196, 142.144010
pinus,47.989627, 142.345999,47.989627, 142.345999
pinus,48.006474, 142.354224,48.006136, 142.354675
pinus,47.910548, 142.419765,47.910173, 142.420162
pinus,47.979251, 142.347573,47.978938, 142.348308
pinus,48.021001, 142.243494,48.020584, 142.243966
dark,46.562669, 143.519518,46.561322, 143.521342
dark,46.599903, 143.452812,46.598646, 143.454926
dark,46.701176, 143.296641,46.697973, 143.301018
dark,46.680026, 142.755105,46.679052, 142.756639
dark,47.113503, 142.927562,47.112331, 142.928935
dark,47.452554, 142.400486,47.451116, 142.402315
dark,47.947627, 142.387829,47.946402, 142.389073
dark,47.957585, 142.313480,47.957030, 142.314081
dark,47.941340, 142.369675,47.940691, 142.370533
dark,47.891452, 142.463015,47.890961, 142.463423
dark,47.635170, 142.567375,47.634561, 142.568276
dark,47.518199, 142.415796,47.517574, 142.416675
dark,46.587184, 141.854403,46.586792, 141.855014
dark,46.905938, 143.084798,46.905349, 143.086107
dark,47.013121, 142.814482,47.012798, 142.814965
dark,46.756857, 143.375643,46.755249, 143.376651
dark,46.898476, 142.258788,46.896719, 142.261063
dark,45.997994, 142.091514,45.996753, 142.093080
dark,46.646382, 142.248822,46.645629, 142.249970
pumila,46.987928, 142.852192,46.987355, 142.852632
pumila,47.026824, 142.848737,47.026384, 142.849252
pumila,47.108143, 142.871203,47.106561, 142.873285
pumila,47.153553, 142.876214,47.152792, 142.877588
pumila,46.916400, 142.901274,46.915930, 142.901684
pumila,47.169566, 142.896671,47.169337, 142.897092
pumila,47.423516, 142.349084,47.423024, 142.349433
pumila,47.492550, 142.259997,47.491932, 142.260598
pumila,47.569253, 142.196025,47.568930, 142.196374
