species,lat_max,lon_min,lat_min,lon_max
larix,46.450289, 143.370114,46.449451, 143.371348
larix,46.482919, 143.347582,46.480836, 143.350350
larix,46.716392, 142.859094,46.714650, 142.860897
larix,46.683782, 142.800573,46.682092, 142.802150
larix,47.912855, 142.194810,47.911802, 142.197020
larix,48.022834, 142.525164,48.021956, 142.527267
larix,47.859536, 142.511995,47.858878, 142.513389
larix,47.313143, 142.698325,47.312231, 142.699644
larix,46.965057, 142.770903,46.963969, 142.772244
larix,46.982420, 142.745353,46.981429, 142.746308
larix,46.991013, 143.068270,46.990124, 143.069536
larix,46.440775, 141.870896,46.439626, 141.871626
larix,46.642743, 142.420550,46.641894, 142.421591
larix,46.704381, 142.442818,46.703377, 142.444309
larix,46.582003, 143.298301,46.580886, 143.299525
water,47.162422, 142.014331,47.147199, 142.021541
water,46.445528, 141.834034,46.442353, 141.836747
water,46.540474, 141.808099,46.534240, 141.810653
water,46.733588, 143.182392,46.726978, 143.187542
water,46.519959, 143.318365,46.514270, 143.325231
water,47.432462, 142.713035,47.430482, 142.716297
water,47.864754, 142.529632,47.861751, 142.531477
water,46.766925, 142.666499,46.766280, 142.666998
urban,46.630924, 142.909619,46.630924, 142.909619
urban,46.996211, 142.735410,46.996211, 142.735410
urban,47.333137, 142.803521,47.333137, 142.803521
urban,46.932681, 142.730604,46.930579, 142.732084
bog,46.781944, 142.712245,46.781745, 142.716596
bog,46.817549, 142.677591,46.813366, 142.682484
bog,46.844304, 142.688286,46.839976, 142.693178
bog,47.471068, 142.699416,47.468799, 142.702034
bog,46.773059, 143.393733,46.773059, 143.393733
bog,46.702346, 143.164129,46.701534, 143.165363
bog,46.686959, 143.118175,46.686154, 143.119130
bog,46.669713, 143.368679,46.665873, 143.369495
bog,46.764698, 142.638446,46.760363, 142.646900
bog,46.764335, 142.689491,46.763627, 142.690811
bog,46.530997, 143.284937,46.529990, 143.286160
barren,46.601153, 141.867930,46.599497, 141.869647
barren,46.894494, 142.833782,46.891258, 142.837086
barren,47.223612, 142.810131,47.222326, 142.812105
barren,47.054651, 142.547632,47.054380, 142.548093
barren,46.024201, 141.950160,46.024088, 141.950427
barren,46.371210, 143.609062, 46.370937, 143.610762
barren,46.595982, 141.868125,46.591900, 141.870614
field,47.312104, 142.763706,47.310791, 142.766238
field,47.289611, 142.716246,47.289611, 142.716246
field,46.805033, 142.711895,46.804296, 142.713161
field,46.762494, 142.671095,46.761609, 142.672674
field,46.815089, 142.545081,46.814279, 142.545897
field,46.800693, 142.354363,46.799160, 142.355779
field,46.649649, 142.855750,46.647728, 142.858025
field,46.813554, 142.872659,46.810726, 142.876178
field,46.831370, 142.759105,46.826540, 142.764641
field,47.049720, 142.694214,47.048283, 142.696574
field,46.048481, 141.923912,46.047379, 141.925040
field,46.948670, 142.652153,46.947729, 142.653269
field,46.938639, 142.700635,46.936993, 142.703242
field,46.992818, 142.718391,46.992319, 142.720344
field,47.079160, 142.765731,47.077196, 142.771353
field,47.329490, 142.774945,47.328589, 142.775975
field,46.408156, 141.893475,46.407161, 141.895406
field,46.613098, 142.791384,46.611427, 142.791642
windthrow,47.492550, 142.259997,47.491932, 142.260598
windthrow,47.569253, 142.196025,47.568930, 142.196374
windthrow,46.742726, 143.109604,46.742106, 143.110398
windthrow,46.937288, 142.858575,46.936521, 142.859715
windthrow,46.796051, 142.783966,46.795211, 142.784931
windthrow,46.954687, 142.877583,46.953864, 142.878591
windthrow,46.811716, 142.031698,46.810939, 142.032832
windthrow,47.246668, 142.844443,47.245938, 142.845076
windthrow,47.379715, 142.851784,47.379715, 142.851784
windthrow,46.711502, 142.824970,46.711022, 142.825571
windthrow,46.946657, 142.056364,46.946290, 142.056893
windthrow,47.192263, 142.836197,47.191692, 142.836787
windthrow,47.216897, 142.848774,47.216170, 142.849503
windthrow,47.317222, 142.870305,47.316887, 142.870616
broadleaf,46.989751, 142.851022,46.989751, 142.851022
broadleaf,46.995483, 142.324093,46.994338, 142.325766
broadleaf,46.795211, 143.101882,46.794164, 143.102880
broadleaf,46.905951, 142.988522,46.904803, 142.990005
broadleaf,46.911697, 143.043831,46.908918, 143.047093
broadleaf,47.068523, 142.839781,47.067732, 142.841208
broadleaf,47.821075, 142.177317,47.820186, 142.178658
broadleaf,46.963222, 142.993103,46.962487, 142.994541
broadleaf,47.321518, 142.656848,47.319957, 142.658822
broadleaf,47.034261, 142.580457,47.033330, 142.581036
broadleaf,47.166443, 143.018573,47.165068, 143.020740
broadleaf,46.765410, 142.500916,46.763950, 142.503362
broadleaf,46.796140, 142.351677,46.795337, 142.353721
broadleaf,46.697913, 141.874343,46.696895, 141.875717
broadleaf,46.894711, 142.872767,46.894146, 142.873585
broadleaf,46.889787, 142.879297,46.888790, 142.880226
broadleaf,46.276910, 143.444821,46.275888, 143.445906
broadleaf,47.222170, 142.989566,47.220874, 142.991092
broadleaf,47.483794, 142.616951,47.482288, 142.618078
broadleaf,47.076276, 142.662624,47.075950, 142.663063
broadleaf,46.985044, 142.761666,46.984773, 142.762207
broadleaf,46.911732, 143.043324,46.910923, 143.044869
broadleaf,46.651001, 142.367881,46.650195, 142.369758
broadleaf,46.431666, 141.942697,46.431013, 141.943791
broadleaf,47.674535, 142.084675,47.673731, 142.085458
broadleaf,47.836536, 142.252493,47.835546, 142.254016
broadleaf,47.977547, 142.320058,47.977190, 142.320595
broadleaf,46.763752, 143.417272,46.762631, 143.418871
broadleaf,46.734863, 143.388661,46.734088, 143.389304
broadleaf,46.781591, 143.419284,46.781289, 143.420271
broadleaf,46.411421, 143.547847,46.410152, 143.550014
broadleaf,46.462953, 143.384367,46.461841, 143.387114
broadleaf,47.043264, 142.795721,47.041863, 142.797406
broadleaf,47.227933, 142.068293,47.227392, 142.070128
broadleaf,46.691236, 141.928947,46.690283, 141.929881
broadleaf,47.123806, 142.897439 ,47.123195, 142.897965
broadleaf,47.148066, 142.885538,47.146880, 142.888274
broadleaf,47.198465, 142.917081,47.197719, 142.918797
broadleaf,47.192663, 142.934926,47.192276, 142.936686
broadleaf,47.202685, 142.963394,47.201288, 142.964338
broadleaf,47.315476, 142.925465 ,47.314980, 142.926538
broadleaf,47.214226, 143.007260,47.212603, 143.013804
broadleaf,46.443292, 143.432079,46.442973, 143.432626
sasa,46.403762, 143.516653,46.402679, 143.518316
sasa,46.161186, 143.438498,46.159158, 143.440515
sasa,47.811650, 142.472996,47.811165, 142.473597
sasa,47.683352, 142.529413,47.682874, 142.529906
sasa,46.538473, 141.839336,46.537555, 141.840162
sasa,47.083306, 142.207571,47.082705, 142.208590
sasa,47.387504, 142.258909,47.387169, 142.259713
sasa,46.701328, 142.223134,46.700952, 142.223510
sasa,46.559112, 142.030738,46.558142, 142.031500
sasa,46.108194, 142.041831,46.107850, 142.042303
sasa,46.177618, 143.452456,46.176242, 143.453404
sasa,46.884667, 142.493485,46.884524, 142.493695
sasa,46.957563, 142.494593,46.957306, 142.494968
sasa,46.381378, 141.990071,46.380343, 141.991576
sasa,46.334528, 141.893825,46.333565, 141.894342
sasa,46.132955, 141.947495,46.132579, 141.948836
sasa,46.033257, 141.938008,46.031261, 141.941540
sasa,46.026156, 142.017463,46.024851, 142.018840
sasa,45.973402, 142.084759,45.973021, 142.085286
sasa,46.774526, 142.156074,46.774111, 142.156416
sasa,46.759641, 142.360190,46.759512, 142.361040
sasa,46.477510, 143.500187,46.476654, 143.500813
sasa,46.381731, 143.471590,46.380964, 143.472723
sasa,46.312392, 143.422134,46.311087, 143.424988
sasa,46.223553, 143.442008,46.222097, 143.444887
sasa,46.219629, 143.449743,46.218847, 143.452419
sasa,46.081503, 143.441025,46.081098, 143.441332
sasa,47.677137, 142.400625,47.676607, 142.401368
evergreen,46.409152, 143.382243,46.408614, 143.382903
evergreen,46.628361, 142.852336,46.627614, 142.852862
evergreen,47.007811, 143.056712,47.006798, 143.057828
evergreen,47.040078, 143.041308,47.039520, 143.042874
evergreen,47.030387, 142.806547,47.029943, 142.806981
evergreen,47.926370, 142.189149,47.925634, 142.190780
evergreen,47.975185, 142.231587,47.973550, 142.233647
evergreen,47.860350, 142.505554,47.859486, 142.506508
evergreen,47.744289, 142.048987,47.743492, 142.049909
evergreen,47.309082, 142.704088,47.308338, 142.704839
evergreen,46.964767, 143.025999,46.964327, 143.026418
evergreen,46.980113, 143.041778,46.979878, 143.042025
evergreen,46.637600, 142.862032,46.637194, 142.862773
evergreen,46.912509, 142.783409,46.912031, 142.784266
evergreen,47.028229, 142.800767,47.027789, 142.801626
evergreen,47.785678, 142.087545,47.785320, 142.088103
evergreen,47.796315, 142.113717,47.796048, 142.114173
evergreen,47.802251, 142.119273,47.801991, 142.119664
evergreen,47.801063, 142.088083,47.800745, 142.088603
evergreen,47.835831, 142.096603,47.835650, 142.097022
evergreen,47.847600, 142.143420,47.847196, 142.144010
evergreen,47.989627, 142.345999,47.989627, 142.345999
evergreen,48.006474, 142.354224,48.006136, 142.354675
evergreen,47.910548, 142.419765,47.910173, 142.420162
evergreen,47.979251, 142.347573,47.978938, 142.348308
evergreen,48.021001, 142.243494,48.020584, 142.243966
evergreen,46.562669, 143.519518,46.561322, 143.521342
evergreen,46.599903, 143.452812,46.598646, 143.454926
evergreen,46.701176, 143.296641,46.697973, 143.301018
evergreen,46.680026, 142.755105,46.679052, 142.756639
evergreen,47.113503, 142.927562,47.112331, 142.928935
evergreen,47.452554, 142.400486,47.451116, 142.402315
evergreen,47.947627, 142.387829,47.946402, 142.389073
evergreen,47.957585, 142.313480,47.957030, 142.314081
evergreen,47.941340, 142.369675,47.940691, 142.370533
evergreen,47.891452, 142.463015,47.890961, 142.463423
evergreen,47.635170, 142.567375,47.634561, 142.568276
evergreen,47.518199, 142.415796,47.517574, 142.416675
evergreen,46.587184, 141.854403,46.586792, 141.855014
evergreen,46.905938, 143.084798,46.905349, 143.086107
evergreen,47.013121, 142.814482,47.012798, 142.814965
evergreen,46.756857, 143.375643,46.755249, 143.376651
evergreen,46.898476, 142.258788,46.896719, 142.261063
evergreen,45.997994, 142.091514,45.996753, 142.093080
evergreen,46.646382, 142.248822,46.645629, 142.249970
evergreen,46.987928, 142.852192,46.987355, 142.852632
